GeneID	GSM4314620	GSM4314621	GSM4314622	GSM4314623	GSM4314624	GSM4314625
105379342	0	1	0	1	1	4
389643	1	2	0	3	1	2
55140	1605	2049	1827	2352	1874	1817
105379343	0	0	0	1	0	0
5368	0	0	0	0	0	0
55893	1775	2177	1939	2553	2130	2336
157574	97	125	87	155	106	97
7976	493	648	547	554	457	488
100422903	0	0	0	0	0	0
2137	3077	3895	3364	4215	3514	3567
101929402	2	10	7	4	3	8
55756	1054	1372	1304	1389	1167	1186
79618	1093	1268	1182	1226	958	932
105379346	0	0	1	0	2	0
23303	946	1237	1127	1980	1654	1643
1846	12446	14806	12840	18732	14930	15496
105379349	1	4	1	9	10	6
107986883	0	1	0	0	0	0
105379350	5	6	6	28	16	21
107986935	8	7	7	29	22	22
105379351	0	0	0	1	0	1
105379352	2	2	1	4	7	2
619351	13	22	15	13	17	12
101929450	1	0	0	1	0	0
101929470	6	11	10	22	10	21
107986884	5	8	10	20	24	29
105379354	0	1	0	0	2	0
286135	0	0	0	0	0	0
100422876	0	0	0	0	0	0
51669	4222	5198	4702	5017	4014	4151
23484	1680	2022	1869	2200	1675	1672
619373	3	4	3	0	0	2
10671	972	1245	1164	1437	1222	1198
100128750	56	72	59	90	72	83
11030	373	511	412	524	445	480
112268025	0	1	0	0	0	0
112268024	22	21	12	26	12	19
2961	1220	1593	1478	1845	1578	1600
100507341	0	0	0	3	1	0
2936	2411	2974	2507	3425	2812	3074
7993	475	537	506	617	451	486
105379356	1	6	2	5	1	6
105379355	3	0	6	4	2	5
5516	2146	2633	2408	2594	2085	2198
56154	164	226	175	6	4	1
105379357	0	0	0	0	0	0
29942	38	79	58	12	5	7
7486	641	793	666	758	600	628
105379358	1	0	0	2	2	0
101929492	0	1	1	0	2	1
105379360	0	0	0	0	0	0
3084	16	26	14	4	3	5
107986936	0	0	0	0	0	0
100856811	0	0	0	0	0	0
105379361	0	0	0	0	0	0
100874286	0	0	0	0	0	0
105379362	433	401	437	531	383	418
84750	302	404	334	379	313	303
84549	2042	2549	2149	2937	2197	2148
80185	1285	1593	1347	1691	1360	1430
692084	0	2	3	2	0	0
79845	91	94	109	91	82	83
78986	0	0	0	0	0	0
105379363	0	0	0	0	0	0
105379364	108	142	145	156	95	113
105379366	0	0	0	0	4	0
105379365	42	45	54	41	42	44
103689844	0	0	0	0	0	0
105379368	0	0	0	0	0	0
105379369	0	0	0	0	0	0
137970	123	113	112	1	1	1
101929550	0	0	0	0	0	0
112268026	0	0	0	0	0	0
105379370	0	0	0	0	0	0
105379371	0	0	0	0	0	0
157855	0	0	0	0	0	0
105379375	0	0	0	0	0	0
105379376	0	0	0	0	0	0
105379377	0	0	0	0	0	0
100507403	0	0	1	0	1	0
100507420	6	4	4	6	8	9
105379379	0	0	0	0	0	0
105379378	0	0	0	0	0	0
105379380	0	0	0	0	0	0
80139	323	373	335	289	220	259
101929622	0	0	0	0	0	0
102723701	62	85	92	112	89	80
11160	1324	1603	1519	2041	1554	1677
728024	38	57	64	85	69	75
11212	963	1215	1074	1117	892	900
105379381	0	1	0	0	1	0
25960	961	1219	998	1589	1527	1433
55290	333	430	407	496	450	435
80223	802	1057	930	1222	1036	1051
137362	0	0	0	0	0	0
155	0	0	0	1	0	1
1978	6775	8432	7852	10641	8755	9168
9070	2938	3645	3283	4504	3631	3841
6770	4	2	4	6	6	3
105379382	61	76	52	80	50	57
27257	1093	1445	1259	1560	1134	1154
9530	1040	1265	1145	1271	985	1036
23259	1415	1768	1600	1963	1517	1605
84513	447	519	467	607	424	456
54904	2502	3083	2762	3300	2942	2675
137994	119	163	172	206	174	200
102723716	5	9	7	6	6	4
2260	1777	2439	2083	1850	1445	1465
389649	0	0	0	0	0	0
105379383	7	17	7	23	11	25
105379384	0	0	0	0	1	0
286140	18	25	27	40	27	28
6867	1953	2272	2087	2844	2278	2239
59339	200	252	226	441	366	400
203100	0	0	1	0	0	0
83877	1102	1364	1334	1225	990	965
8754	4249	5333	4693	4662	3761	3856
109616979	0	0	0	0	0	0
203102	5	10	6	2	2	3
255926	0	0	0	0	0	0
1587	0	0	0	0	0	0
100130964	0	0	0	0	0	0
8749	0	0	0	0	0	0
2515	0	0	0	0	0	0
3620	0	0	0	1	0	0
169355	0	0	0	0	0	0
105379385	0	0	0	0	0	0
105379386	0	0	0	0	3	0
56892	0	0	2	0	2	0
112543493	0	0	0	0	0	0
105379388	0	0	0	0	0	0
79698	0	0	0	0	0	0
107986938	0	0	0	0	0	0
105379389	0	0	0	0	0	0
105379390	0	0	0	0	0	0
105379771	0	0	1	1	0	2
6422	13844	16704	14779	14459	12262	12823
100847068	1	0	0	0	0	0
109616980	0	0	0	0	0	0
105379391	0	0	0	0	0	0
51125	1633	2116	1938	2223	1744	1825
84296	1478	1756	1602	1644	1281	1402
102723729	119	136	124	131	94	103
137964	2733	3346	3085	3626	2965	2989
157848	0	0	0	0	0	0
286	111	138	128	83	60	67
619554	0	0	0	0	0	0
102465696	0	0	0	0	0	0
105379392	0	0	0	0	0	0
7994	3102	3745	3377	3905	3351	3163
105379393	57	74	76	77	70	70
107986939	5	6	4	1	6	3
10947	570	725	675	863	637	710
5327	4793	5934	5400	7098	5775	5876
101929897	1	2	0	1	1	0
3551	843	1089	902	1463	1185	1209
105379395	16	25	22	26	31	25
5423	471	609	529	715	580	621
27121	0	1	0	0	0	0
7419	3125	3926	3622	4012	3125	3115
6575	1077	1334	1184	1433	1136	1277
114926	287	376	328	377	320	318
105379396	0	0	0	0	0	0
1142	0	0	0	0	0	0
8973	3	18	12	35	20	27
55145	314	372	337	471	293	373
81790	279	314	287	383	293	267
100616115	6	6	7	6	7	5
84376	1337	1581	1361	1622	1352	1374
2339	933	1148	1043	1226	952	1117
84197	209	274	244	329	251	276
138050	523	576	539	835	615	592
340441	0	0	0	0	0	0
105379397	0	0	0	0	0	0
389652	2	1	0	30	17	23
105375811	0	0	0	0	0	0
105375812	8	1	2	2	4	0
497634	1	0	1	0	0	0
105375813	0	0	0	0	0	0
105375814	0	0	0	1	0	0
105375815	0	0	0	0	0	0
105375816	0	0	0	0	0	0
105375817	0	0	1	0	0	0
107986885	0	0	0	0	0	0
100287846	3	12	8	13	8	2
100996586	0	0	0	0	0	0
23514	1564	1882	1745	2019	1681	1804
107986940	0	0	0	0	0	1
1052	586	722	527	571	567	670
5591	32401	38882	36038	44436	36508	33537
105375818	0	1	3	2	2	1
4173	13273	16802	14796	17704	14296	14839
105375819	1	0	0	0	1	0
7336	2546	3142	2614	3340	2786	2806
107986941	0	0	0	0	0	0
105375820	0	0	0	0	0	0
105375821	0	0	0	0	1	0
105375822	0	2	1	0	3	2
112268027	0	0	0	0	0	0
101929268	0	0	0	0	0	0
105375823	0	0	0	0	0	0
101929217	0	0	0	0	0	0
79645	0	0	0	0	0	0
105375825	0	0	2	1	0	0
6591	111	93	121	83	77	78
107986942	3	3	4	1	1	0
492307	0	0	0	1	1	0
105375826	0	0	0	0	0	0
100507464	0	0	0	0	0	0
54212	0	1	0	0	1	0
105375829	0	0	0	0	0	0
105375828	0	0	0	0	0	0
105375830	0	0	0	0	0	0
105375831	0	0	0	0	0	0
137902	5	3	6	17	9	11
105375833	0	2	1	0	0	0
115294	397	481	457	618	426	460
102724330	91	98	97	121	78	97
9705	1	1	0	0	0	0
101929341	0	0	0	0	0	0
389658	0	0	0	0	0	0
9821	2608	3136	2780	3736	2953	3108
105375835	0	1	0	1	0	0
107986943	0	0	0	0	0	0
2831	3	12	4	25	9	11
105375836	0	0	0	0	0	0
4986	4	4	2	1	0	1
100507516	41	53	50	46	48	46
51606	2014	2524	2332	2742	1991	2118
8601	103	129	115	144	125	129
6917	6007	7239	6668	7628	6041	6207
105375839	8	5	3	3	9	3
10434	4600	5595	4847	5932	4593	4745
29088	2346	2947	2574	3071	2375	2507
26766	0	0	0	0	0	0
105375840	0	0	0	0	0	0
105375841	0	0	0	0	0	0
64321	0	0	0	0	0	0
100129098	0	0	0	1	0	0
6101	0	1	2	3	2	0
107984125	0	0	0	0	0	0
105375842	0	0	0	0	0	0
107986944	0	0	0	0	0	0
107986886	0	0	0	0	0	0
107986887	0	0	0	0	0	0
114786	44	64	65	46	35	46
105375844	0	0	0	0	0	0
100133234	0	0	0	0	0	0
105375843	0	1	0	2	0	0
105375845	0	0	0	0	0	0
105375846	2	2	0	1	1	0
137695	676	859	736	1009	783	770
96764	2508	3065	2753	3221	2404	2602
4067	803	1064	943	1138	959	1010
109617001	0	0	0	0	0	0
6224	29276	37056	34401	39764	33222	34717
26795	16	17	23	31	19	18
105375847	0	1	1	2	2	3
4342	0	0	0	0	0	0
5324	457	565	501	625	549	519
79145	1062	1399	1152	1394	1043	1163
195814	1	3	6	1	0	0
442388	0	0	0	0	0	0
105375849	0	0	0	0	0	0
5179	0	0	0	0	0	0
101929415	0	0	0	0	0	0
101929398	0	0	0	0	0	0
100507632	0	0	0	0	0	0
105375850	0	0	0	0	0	0
105375851	0	0	0	0	0	0
105375852	0	0	0	0	0	0
54928	8007	9726	8431	11466	9319	10559
100507651	5	8	7	1	0	2
286177	0	0	0	0	0	0
26138	0	0	0	0	0	0
101929488	0	0	0	0	0	0
107986888	0	0	0	0	0	0
105375855	0	0	0	0	0	0
286178	0	0	0	0	1	0
105375856	0	4	0	1	0	0
100505477	1	1	0	8	5	3
90362	56	75	53	28	26	31
107986945	0	0	0	0	0	0
101929528	0	0	0	0	0	0
137886	1061	1308	1169	1365	1095	1162
1581	0	0	0	1	0	0
105375857	0	0	0	0	0	0
6386	4811	5736	5243	5894	4802	4868
8439	1609	2075	1861	2497	2024	2165
105375858	1	0	0	1	0	0
9760	27	42	31	45	35	36
100505501	27	30	35	32	43	38
105375860	1	3	2	11	3	8
105375859	0	0	0	0	0	0
105375861	0	0	0	0	0	0
105375863	0	0	0	0	0	0
767	36	43	26	24	23	26
105375864	1	2	1	0	0	0
100505532	26	22	22	21	17	17
5862	4250	5248	4862	5777	4522	4466
55636	3485	4133	3729	3469	2950	2671
105375938	0	0	0	0	0	0
157807	153	184	157	193	165	158
100130298	0	1	1	0	0	0
105375870	0	0	0	0	0	0
444	7800	10047	9146	11975	10008	10174
100616484	3	0	3	2	1	1
101929628	0	0	0	0	0	2
105375871	0	0	1	0	0	0
111082988	0	0	0	0	0	0
286183	17	3	10	2	2	2
643763	0	1	1	0	0	0
107986946	3	4	5	0	5	2
8836	2057	2525	2379	2538	2067	2196
7274	90	101	90	82	78	68
101410533	55	56	61	51	43	44
253943	4469	5635	4858	5635	4253	4440
105375873	2	1	3	9	1	1
105375875	0	0	0	0	0	0
105375874	0	0	0	0	0	0
102724612	0	0	0	0	0	0
105375876	0	0	0	0	0	0
286184	0	0	0	0	0	0
102724623	0	0	0	0	1	0
105375877	0	0	0	0	0	0
100130155	0	0	0	0	0	0
406908	0	0	0	0	0	0
401463	0	0	0	1	0	0
27319	3	3	5	1	0	1
9420	4	8	9	1	5	2
105375879	1	4	5	4	5	3
105375878	1	1	2	2	0	1
105375880	0	0	0	0	0	0
552859	0	0	0	0	0	0
105375881	0	0	0	0	0	0
286186	0	0	0	0	0	0
55156	2283	2856	2423	3141	2386	2525
9650	2034	2378	2261	2795	2206	2350
5150	829	999	882	1050	860	892
107986949	5	0	4	1	1	1
107986948	29	40	35	51	45	39
107986950	0	0	0	0	0	0
105375883	0	0	0	0	0	0
85479	0	1	1	0	0	0
84675	3	3	2	3	1	0
100189437	1	1	0	0	0	0
100189102	0	0	0	0	0	0
1392	0	0	0	0	0	0
112268029	0	0	0	0	0	0
100505659	0	0	0	0	0	0
102724687	42	65	48	40	38	35
100505676	9	20	11	11	14	7
23212	4187	5064	4740	5850	4417	4548
137872	12	18	9	20	13	14
254778	22	34	25	65	57	49
4603	449	616	514	703	523	531
105375884	16	23	15	27	37	29
80124	1480	1858	1749	1800	1513	1527
100533105	198	226	230	309	252	264
56260	98	105	119	126	122	108
23678	157	185	176	270	214	217
26255	0	0	1	1	0	0
157777	863	1104	1049	1308	1065	1147
641638	2535	3260	3082	3831	3122	3362
641648	42	48	32	41	39	34
100129654	5	6	4	6	6	2
286187	4	5	7	4	3	5
105375885	1	0	1	0	0	0
10987	3839	4769	4354	5447	4320	4408
79848	1027	1201	1114	1345	1043	1069
10565	2557	3176	2928	3754	3041	3097
102724708	20	28	22	36	29	26
57094	3	1	0	5	2	2
105375886	1	0	0	0	0	0
80243	90	118	102	1	0	0
105375888	0	0	0	0	0	0
286189	0	0	1	0	0	0
116328	1	1	2	0	0	0
107986951	1	5	1	1	2	3
100505718	0	0	0	1	0	1
100505739	0	3	0	1	0	0
23213	201	212	210	361	344	341
81796	722	778	643	879	625	985
105375889	0	0	2	0	1	2
101929759	29	34	36	39	34	37
63978	0	0	0	0	0	0
10499	1375	1615	1374	1617	1397	1378
101926892	0	0	0	0	0	0
105375890	0	0	0	0	0	0
23471	5394	6623	5909	6525	5111	5383
286190	271	329	291	416	345	363
51110	660	784	748	1006	818	856
389668	0	4	3	3	2	2
105375894	179	214	181	183	153	147
2138	2206	2698	2357	2533	1946	1895
102724772	1	1	2	1	4	1
105375892	1	0	0	2	1	0
107986890	0	0	0	0	0	0
9242	265	402	348	465	379	446
100132891	138	192	191	268	185	215
8989	14	38	24	39	32	30
105375896	2	0	2	0	0	1
392232	2	1	1	0	0	1
105375897	0	0	0	0	0	0
9312	0	0	0	0	0	0
101926908	0	0	0	0	0	0
7013	1598	1924	1776	2028	1553	1578
157869	22	29	23	37	28	34
107986891	0	0	0	0	0	0
105375901	1	1	1	1	1	1
100130301	1	0	0	1	0	0
6129	47295	59200	55055	60978	49967	50224
157506	1019	1200	1053	1191	872	987
101926926	2	4	2	5	1	2
105375899	0	0	0	0	0	0
100128126	1	1	0	1	1	3
27067	1418	1696	1473	1847	1455	1565
105375902	6	7	3	8	5	5
55284	987	1127	1004	1344	998	1045
101926947	0	1	0	0	0	0
6921	3701	4663	4161	5078	4057	4460
54968	1189	1461	1411	1781	1333	1297
23643	4	5	4	12	12	20
105375903	0	0	0	0	0	0
56704	928	1195	1008	1644	1269	1300
54332	1444	1778	1520	2074	1654	1597
100847058	0	0	0	0	0	0
100847091	0	0	0	0	0	0
105375904	0	0	1	0	0	0
441355	1	0	0	4	3	0
100302260	0	0	0	0	0	0
51050	437	555	455	896	720	688
83690	977	1159	1026	1296	1006	1125
105375905	0	0	0	0	0	0
101805492	34	64	52	126	125	86
3174	33	27	28	230	182	185
105375906	1	1	1	4	0	0
102724858	76	104	100	120	83	79
101926978	1	0	0	0	0	2
107986952	126	189	145	397	337	345
100192378	0	1	6	2	3	2
79776	1113	1278	1200	1624	1308	1139
100422921	0	0	0	0	0	0
5828	965	1148	1052	1317	1115	1111
105375909	0	0	0	0	0	0
102724874	0	0	0	0	0	0
105375911	1	1	3	4	4	1
5569	173	199	196	220	193	172
101927003	5	3	2	6	8	4
51101	424	527	457	520	496	450
3574	75	93	81	111	86	85
101241902	3	9	4	3	5	4
105375914	32	44	48	63	54	43
112935892	6	3	3	9	2	7
105375912	5	3	3	0	3	0
105375913	4	2	4	1	3	0
107986892	0	0	0	0	0	0
105375915	20	15	15	9	1	7
113219456	0	0	0	0	0	0
105375916	0	0	4	0	0	0
11075	53	59	52	7	6	12
107986893	0	0	0	0	0	0
23462	119	138	123	373	277	296
101927067	0	0	1	4	2	3
101927040	2	4	2	6	1	2
28957	1296	1603	1502	1969	1526	1514
7163	2109	2521	2247	3677	2851	2953
105375919	0	0	0	0	0	0
105375918	0	0	0	0	0	0
105375920	0	0	0	0	0	0
100847056	0	0	0	0	0	0
105375922	0	0	0	0	0	0
105375921	8	6	6	14	8	10
65986	1179	1529	1347	1482	1235	1205
619279	165	219	170	249	223	225
107986894	0	0	0	0	0	0
55824	735	824	774	818	677	578
105375924	0	0	0	0	0	0
2171	2212	2828	2541	3142	2474	2539
105375925	0	0	0	0	0	0
105375926	0	0	0	0	0	0
5375	2	1	0	0	0	0
646480	1	0	0	0	0	0
101927118	1	4	4	0	0	2
2167	0	0	1	2	0	2
646486	0	0	0	0	0	0
650747	0	1	0	0	0	0
3612	1438	1634	1504	2378	1880	1955
347051	1	6	2	6	5	1
79752	1168	1452	1433	1848	1372	1474
92421	35	53	47	75	54	42
64089	405	483	422	512	383	414
105375928	11	14	12	9	11	12
105375929	0	0	0	0	0	0
105375930	0	0	0	0	0	0
105375931	1	0	0	0	0	0
107986953	0	0	0	0	0	0
101927141	0	0	0	0	0	0
103352670	553	643	559	7613	6123	6584
105375932	0	0	0	0	0	0
138046	1	1	2	2	0	1
105375933	4	2	4	3	1	3
85444	477	673	610	565	450	425
102723322	4	2	4	2	1	1
1875	402	459	339	569	490	511
401466	1078	1293	1093	1554	1254	1290
105375936	1	1	1	3	1	1
105375935	1	0	0	0	1	0
377677	132	157	137	109	109	98
759	0	0	0	0	0	0
761	1	1	0	0	0	1
100996348	0	1	0	0	0	0
760	0	6	3	1	4	2
105375937	0	0	0	0	0	0
101929601	0	0	0	0	0	0
101929627	0	0	0	0	0	0
100288527	0	0	0	0	0	0
100288562	0	0	0	0	0	0
105375622	0	0	0	1	0	0
107986954	0	0	0	0	0	0
85481	0	0	0	0	0	0
245972	0	0	0	1	0	0
105375623	0	0	0	0	0	0
157724	0	0	0	0	0	0
105375624	2	2	4	0	2	3
11059	1475	1776	1525	1792	1607	1619
51115	2024	2584	2317	3147	2567	2560
8895	4724	5940	5230	7255	5686	5833
54714	5	6	4	4	5	1
107986895	0	0	0	0	0	0
168975	0	0	1	0	0	0
105375626	0	0	0	1	0	0
138009	1	2	1	3	2	1
105375628	5	10	15	14	8	5
4325	8777	10797	10001	8359	6973	6479
105375630	19	29	27	28	13	23
105375629	0	1	1	0	0	0
105375631	0	1	4	2	2	3
112268015	1	2	2	1	0	1
101929709	37	37	39	46	45	33
8767	519	676	587	817	656	685
734	1372	1694	1410	1972	1537	1713
4683	2186	2708	2376	3242	2476	2551
1666	820	1048	967	1206	964	934
793	1	1	0	4	1	4
100874052	0	0	0	0	0	0
107986955	0	0	0	0	0	0
101937451	0	0	0	0	0	0
169200	527	626	537	800	575	718
102724670	2	3	0	3	1	1
105375633	0	0	0	0	0	0
64168	156	204	158	241	155	209
105375635	1	1	0	1	3	1
105375634	1	3	1	1	3	0
100127983	308	340	304	437	299	351
55529	516	660	540	806	591	638
100506365	693	944	821	1071	861	913
51633	1583	2010	1769	1964	1497	1522
100130742	21	27	23	19	22	19
100616245	0	0	0	0	0	0
115111	7	10	8	9	7	6
105375637	0	0	0	0	0	0
862	246	305	249	355	303	294
105375638	0	0	0	0	0	0
105375639	1	0	0	0	0	0
102724710	0	0	0	0	0	0
101926956	0	0	0	0	0	0
441369	2	0	1	0	0	1
286144	608	800	657	811	641	673
102467005	0	0	0	0	0	0
389676	0	0	0	0	0	0
105375644	0	0	0	0	0	0
105375643	0	3	1	2	5	5
107986956	0	0	0	0	0	0
105375642	0	0	0	0	0	0
642924	13	32	16	22	28	20
105375641	0	0	0	0	0	0
137392	797	1040	876	1055	959	884
389677	2393	3006	2692	2988	2315	2529
55472	89	129	137	136	99	98
105375645	1	2	3	0	0	0
91147	511	606	636	767	598	656
105375646	0	0	0	0	0	0
100616169	0	1	0	0	2	4
54704	5517	6587	5798	6961	5782	5823
1015	1	0	1	1	1	3
105375647	2	2	2	0	2	3
105375648	0	1	3	0	1	1
2669	199	238	237	405	379	410
107986896	1	0	1	3	0	1
25788	1021	1219	1062	1456	1178	1180
100861412	132	159	147	243	208	210
25962	4853	6156	5440	6347	5142	5230
101926977	10	15	10	8	2	10
100288748	0	0	0	0	0	0
54845	7	6	7	16	11	6
286148	1526	1870	1658	2088	1665	1664
55656	2163	2458	2217	2985	2304	2401
9134	668	827	749	875	678	705
137682	577	655	589	730	547	578
94241	259	351	242	215	162	204
105375650	0	1	2	2	2	2
100500907	0	0	0	0	0	0
100422964	0	0	0	0	0	0
79666	478	587	496	629	516	519
619344	0	0	0	0	0	0
157657	167	176	176	236	172	204
100616530	5	2	2	3	3	1
100189248	1	0	0	1	1	2
107986957	2	0	1	0	1	2
100500773	1	0	1	0	1	2
